timestamp,model,dataset,total_training_time_sec,inference_latency_ms,peak_memory_gb
2026-07-03 14:13:15,CompactNet3,chest.pt,33.42,0.045,1.38
2026-07-03 18:18:07,AlexNet,cells.pt,205.48,0.075,2.16
2026-07-03 19:16:01,AlexNet,cells.pt,205.36,0.069,2.18
2026-07-03 20:48:59,AlexNet,cells.pt,206.82,0.072,2.17
2026-07-03 20:59:54,AlexNet,cells.pt,209.41,0.068,2.16
2026-07-04 08:49:37,VGG16,cells.pt,1300.25,0.534,2.16
2026-07-04 09:58:58,ResNet18,cells.pt,2131.56,0.871,2.18
2026-07-04 11:00:04,CompactNet3,cells.pt,95.81,0.049,2.13
2026-07-04 18:49:52,CompactNet3,lesions.pt,646.17,0.604,0.86
2026-07-04 20:21:57,AlexNet,lesions.pt,5263.78,4.511,0.97
2026-07-04 20:55:22,VGG16,lesions.pt,745.70,0.552,1.83
2026-07-04 21:18:08,ResNet18,lesions.pt,1261.18,0.900,1.84
2026-07-04 21:27:44,AlexNet,orgs.pt,223.08,0.064,1.69
2026-07-05 12:37:43,VGG16,orgs.pt,1439.88,0.539,1.71
2026-07-05 13:26:05,ResNet18,orgs.pt,2435.69,0.910,1.73
2026-07-05 14:23:03,CompactNet3,orgs.pt,2155.93,1.081,0.74
2026-07-05 15:26:17,CompactNet3,chest.pt,726.79,1.416,0.44
2026-07-07 16:05:03,Transfer_learning,organs.pt,1085.48,7.869,1.25
2026-07-07 17:36:28,AlexNet,organs.pt,337.85,3.820,0.49
2026-07-07 17:54:47,Transfer_learning,organs.pt,538.43,3.382,1.26
2026-07-08 05:02:50,Transfer_learning,organs.pt,22.31,0.087,1.28
2026-07-08 05:05:59,Transfer_learning,organs.pt,20.06,0.086,1.27
2026-07-08 06:20:43,Transfer_learning,organs.pt,1271.10,5.552,1.27
2026-07-08 06:38:19,Transfer_learning,organs.pt,20.64,0.087,1.27
2026-07-08 06:40:10,Transfer_learning,organs.pt,20.01,0.086,1.27
2026-07-08 07:29:19,Transfer_learning_AlexNet,organs.pt,21.02,0.091,1.28
2026-07-08 13:36:03,Transfer_learning_VGG16,organs.pt,70.66,0.378,1.28
2026-07-08 19:05:19,Transfer_learning_VGG16,organs.pt,70.67,0.362,1.28
2026-07-08 19:22:07,Transfer_learning_VGG16,organs.pt,45.87,0.359,1.25
2026-07-08 19:42:01,Transfer_learning_AlexNet,organs.pt,20.18,0.091,1.27
2026-07-08 19:50:14,VGG16,organs.pt,44.46,0.366,1.34
2026-07-08 21:51:14,Transfer_learning_VGG16,organs.pt,5395.39,63.355,2.54
2026-07-09 06:12:14,Transfer_learning_VGG16,organs.pt,60.17,0.399,1.28
2026-07-09 06:16:36,VGG16,organs.pt,46.67,0.398,1.34
2026-07-09 10:25:50,AlexNet,organs.pt,8.07,0.083,1.34
2026-07-09 10:25:55,AlexNet,organs.pt,3.67,0.095,1.38
2026-07-09 10:25:56,AlexNet,organs.pt,1.73,0.105,1.41
2026-07-09 10:25:57,AlexNet,organs.pt,0.82,0.302,1.41
2026-07-09 10:26:18,Transfer_learning_AlexNet,organs.pt,18.60,0.090,1.41
2026-07-09 10:26:30,Transfer_learning_AlexNet,organs.pt,9.84,0.061,1.47
2026-07-09 10:26:36,Transfer_learning_AlexNet,organs.pt,5.10,0.166,1.48
2026-07-09 10:26:39,Transfer_learning_AlexNet,organs.pt,2.56,0.258,1.43
2026-07-09 10:27:22,VGG16,organs.pt,42.14,0.380,1.50
2026-07-09 10:27:44,VGG16,organs.pt,21.52,0.143,1.54
2026-07-09 10:27:55,VGG16,organs.pt,11.07,0.351,1.54
2026-07-09 10:28:00,VGG16,organs.pt,4.71,0.475,1.54
2026-07-09 10:28:59,Transfer_learning_VGG16,organs.pt,53.92,0.374,1.56
2026-07-09 10:29:29,Transfer_learning_VGG16,organs.pt,28.01,0.084,1.56
2026-07-09 10:29:44,Transfer_learning_VGG16,organs.pt,14.51,0.155,1.56
2026-07-09 10:29:53,Transfer_learning_VGG16,organs.pt,6.92,0.539,1.56
